ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,1,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,2,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,3,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,4,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,4-1,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,5,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,5-乙,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,6,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,6-乙,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,6-丙,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,7,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,8,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,9,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,10,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,11,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,12,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,13,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,14,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,15,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,16,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,16-乙,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,19,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,20,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,20-1,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,21,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,21-1,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,22-1,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,22-2,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,22-3,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,23-1,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,23-2,,
26364-1312-1.zip,202202031243,相楽郡笠置町大字笠置小字赤坂,23-3,,
